seed,algorithm,success,path_length,turn_count,danger_cells,collision,running_time,expanded_nodes,total_cost,total_reward,final_success_rate,avg_reward_last_100,episodes,max_steps
7,A*,True,56,12,16,False,0.023000240325927734,2795,76.0,,,,,
7,Q-learning,True,62,6,14,False,9.409382581710815,,,80.0,0.96,81.48,10000,1000
