seed,algorithm,success,path_length,turn_count,danger_cells,collision,running_time,expanded_nodes,total_cost,total_reward,final_success_rate,avg_reward_last_100,episodes,max_steps
11,A*,True,60,10,17,False,0.024998903274536133,3061,88.99999999999997,,,,,
11,Q-learning,False,31,6,1,False,67.86326432228088,,,-1652.0,0.0,-1640.75,10000,1000
